city,lat,lon
אילות,29.557669,34.951925
אילת,29.557669,34.951925
באר אורה,29.710166,34.987218
אליפז,29.796248,35.012094
סמר,29.833968,35.022204
יטבתה,29.896322,35.059227
שחרות,29.904093,34.999173
גרופית,29.941617,35.064691
מחנה יוכבד,29.952075,34.934344
קטורה,29.970887,35.061355
לוטן,29.988263,35.086776
נאות סמדר,30.049079,35.028106
יהל,30.084234,35.128393
פארן,30.362646,35.155149
צוקים,30.491551,35.165443
צופר,30.559394,35.181474
מצפה רמון,30.610203,34.801898
עין יהב,30.658757,35.239656
חצבה,30.767942,35.278498
מחנה טלי,30.7820644,34.6667495
עידן,30.806291,35.299946
מדרשת בן גוריון,30.852297,34.7834
שדה בוקר,30.873611,34.793098
ניצנה קהילת חינוך,30.885983,34.4225689
מרחב עם,30.888022,34.828175
ניצני סיני,30.903428,34.396679
כמהין,30.910327,34.430725
נאות הכיכר,30.933368,35.378126
עין תמר,30.943594,35.37407
אשלים,30.964245,34.699674
ירוחם,30.987804,34.929741
טללים,30.991511,34.771261
משאבי שדה,31.004042,34.785029
ביר הדאג,31.02316,34.709138
רביבים,31.045195,34.721086
רתמים,31.05401,34.690902
דימונה,31.069419,35.033363
אבו קורינאת שבט,31.103115,34.952003
אבו קרינאת יישוב,31.103115,34.952003
אבו תלול,31.142612,34.913514
בני נצרים,31.143513,34.316403
נווה זוהר,31.152068,35.364771
ערערהבנגב,31.160927,35.019757
נווה,31.162183,34.329827
שלומית,31.1673893,34.3033322
אבו גווייעד שבט,31.180663,35.072843
יבול,31.189458,34.318952
אבשלום,31.195397,34.3312
שגבשלום,31.198361,34.839665
תלמי יוסף,31.199958,34.363751
צאלים,31.203909,34.533359
יתד,31.207042,34.326126
גבולות,31.211168,34.466199
שדי אברהם,31.211594,34.335692
נבטים,31.219761,34.882488
פרי גן,31.222015,34.355936
כרם שלום,31.228281,34.284559
תלמי אליהו,31.229611,34.429114
שדה ניצן,31.230035,34.418363
ניר יצחק,31.23604,34.356702
צוחר,31.23717,34.426444
סופה,31.238309,34.341987
אוהד,31.238436,34.431893
חצרים,31.240603,34.717427
מבטחים,31.242423,34.407488
תל שבע,31.247569,34.861193
ישע,31.247595,34.403091
עמיעוז,31.248463,34.413404
כסיפה,31.249246,35.083681
באר שבע,31.252973,34.791462
סעוה,31.261071,34.975564
ערד,31.261447,35.214862
אטרש שבט,31.264161,34.948716
עומר,31.264305,34.849864
אום בטין,31.2767437,34.8829215
עין הבשור,31.280895,34.443446
אל סייד,31.281719,34.916298
סייד שבט,31.281719,34.916298
כחלה,31.287112,35.048572
גנאביב שבט,31.287156,35.108132
מכחול,31.288515,35.075736
קודייראת אצאנעשבט,31.293107,35.10564
מגן,31.298108,34.427059
חורה,31.300399,34.935688
אבו עבדון שבט,31.301397,34.841655
עטאוונה שבט,31.301882,34.926949
דריגאת,31.301885,35.076793
אורים,31.304094,34.524868
ניר עוז,31.309697,34.402075
אופקים,31.311337,34.622824
מסלול,31.323677,34.590761
תפרח,31.324471,34.679236
לקיה,31.324884,34.866219
פטיש,31.3259948,34.563565
פדויים,31.326275,34.612069
גילת,31.326321,34.648934
אשל הנשיא,31.326828,34.697497
מיתר,31.327011,34.943213
כרמים,31.333464,34.917879
בטחה,31.333869,34.634318
נירים,31.33573,34.394087
רנן,31.33871,34.600358
הר עמשא,31.342717,35.101599
תראבין אצאנע שבט,31.345481,34.739126
תראבין אצאנעישוב,31.345481,34.739126
עין השלושה,31.351722,34.403471
גבעות בר,31.357209,34.755541
סנסנה,31.361765,34.901003
משמר הנגב,31.364796,34.717968
מצדות יהודה,31.365586,35.11134
תאשור,31.371709,34.643547
להבים,31.373835,34.816952
כיסופים,31.374545,34.398992
טנא,31.376132,34.957383
תדהר,31.378858,34.630364
להב,31.379363,34.871311
רעים,31.386159,34.458823
שמעה,31.387342,35.012699
מלילות,31.389897,34.595243
סוסיה,31.391051,35.110978
אשכולות,31.391171,34.904856
רהט,31.394548,34.753934
שיבולים,31.396398,34.608144
גבעולים,31.397604,34.593821
מעגלים,31.398859,34.598239
דבירה,31.411699,34.825177
שובל,31.413734,34.745814
מעון,31.414592,35.163893
שוקדה,31.422098,34.524383
בית הגדי,31.422839,34.607878
נתיבות,31.423196,34.595254
בארי,31.424513,34.492567
כפר מימון,31.431401,34.53718
שומריה,31.432154,34.884095
תושיה,31.432895,34.541314
פעמי תשז,31.437967,34.692875
תלמי בילו,31.438055,34.644823
עתניאל,31.438812,35.028163
יושיביה,31.444699,34.608784
אשבול,31.445516,34.666654
בית קמה,31.446566,34.762248
זמרת,31.447853,34.552288
תקומה,31.448536,34.578085
שדה צבי,31.448747,34.713234
מבועים,31.44945,34.654994
קלחים,31.449795,34.679092
שובה,31.44995,34.545496
עין גדי,31.451191,35.383571
עלומים,31.453049,34.514711
זרועה,31.459133,34.624161
ניר עקיבא,31.469933,34.646166
סעד,31.470185,34.534356
נחל עוז,31.47268,34.497675
ניר משה,31.477456,34.630085
נטע,31.477893,34.927774
יכיני,31.482205,34.598634
כפר עזה,31.483416,34.532291
פני חבר,31.487074,35.1651
נגוהות,31.493077,34.983347
רוחמה,31.497378,34.705165
מפלסים,31.502206,34.561674
גבים,31.506273,34.598949
דורות,31.507207,34.645725
ספיר,31.5090643,34.5944391
שקף,31.51489,34.937318
בני דקלים,31.517188,34.917033
ניר עם,31.518459,34.580544
שדרות,31.522694,34.595581
קרית ארבע,31.529326,35.115625
אליאב,31.530203,34.928414
אמציה,31.531176,34.914463
חברון,31.532569,35.099826
איבים,31.533597,34.609697
כרמי קטיף,31.537825,34.911993
אדורה,31.552219,35.017634
אחוזם,31.552682,34.770151
אור הנר,31.556197,34.602305
ברור חיל,31.556985,34.646547
ארז,31.55984,34.564889
לכיש,31.560907,34.84409
תלם,31.563051,35.03124
תלמים,31.563416,34.671998
נועם,31.568567,34.788161
מצפה שלם,31.568875,35.400367
איתן,31.572213,34.747909
נתיב העשרה,31.572407,34.539322
אבן שמואל,31.576429,34.762963
שדה דוד,31.577476,34.683443
חלץ,31.57794,34.658391
אספר,31.586152,35.187594
גברעם,31.591461,34.612156
עוזה,31.593042,34.764524
זוהר,31.595592,34.692362
מעלה עמוס,31.596887,35.229365
כרמיה,31.602695,34.540413
זיקים,31.607204,34.520968
ניר חן,31.608906,34.714282
כרמי צור,31.609468,35.101273
שדה משה,31.610982,34.800427
קרית גת,31.611148,34.768459
בית גוברין,31.61288,34.895568
תלמי יפה,31.616857,34.612482
נהורה,31.621321,34.704496
מבקיעים,31.622518,34.577431
גת קיבוץ,31.627796,34.794112
גיאה,31.628467,34.602678
נחושה,31.628848,34.952732
כוכב מיכאל,31.631482,34.667794
גלאון,31.633371,34.848898
עוצם,31.637665,34.705108
בית שקמה,31.637735,34.610074
מגדל עוז,31.640932,35.143139
נוקדים,31.645331,35.244064
שדה יואב,31.645723,34.676849
בית ניר,31.647627,34.873107
בת הדר,31.648125,34.597146
כפר עציון,31.649486,35.115234
אלומה,31.652041,34.742872
תקוע,31.652785,35.227517
יד נתן,31.652961,34.704874
אפרת,31.653589,35.149934
אלון שבות,31.654871,35.125256
מנוחה,31.656159,34.777273
משען,31.656885,34.621607
בת עין,31.657653,35.101101
זבדיאל,31.6592451,34.7602609
צפרירים,31.659618,34.944326
אלעזר,31.659676,35.143074
אדרת,31.659715,34.99444
נחלה,31.66,34.792817
נגבה,31.662547,34.679561
קוממיות,31.662583,34.7293
ורדון,31.663823,34.781766
ראש צורים,31.667791,35.125288
ברכיה,31.668047,34.624296
אשקלון,31.6687885,34.5742523
סגולה,31.669546,34.778426
ניר בנים,31.671177,34.755012
גבעת ישעיהו,31.67168,34.943738
נווה מיכאל,31.673049,35.00671
כפר סילבר,31.675669,34.612311
נווה דניאל,31.67632,35.143293
הודיה,31.676356,34.639275
שריגים ליאון,31.678567,34.93509
זרחיה,31.681742,34.746419
אביעזר,31.681996,35.018821
נתיב הלה,31.687184,34.982523
לוזית,31.688209,34.888222
ניר ישראל,31.692156,34.638071
עין צורים,31.694936,34.718683
מרכז שפירא,31.696927,34.707319
שפיר,31.697557,34.728181
באר גנים,31.7003539,34.610934
ביתר עילית,31.7010023,35.1119254
משואות יצחק,31.70261,34.689968
זכריה,31.708812,34.944708
אביגדור,31.711901,34.740369
תימורים,31.716336,34.761356
מטע,31.716522,35.060571
ניצנים,31.717845,34.634636
כפר ורבורג,31.718747,34.72868
צור הדסה,31.719374,35.096958
שדות מיכה,31.721354,34.920683
הר גילה,31.722058,35.171491
מבוא ביתר,31.722592,35.106656
בר גיורא,31.729683,35.073414
קרית מלאכי,31.730202,34.746996
כפר מנחם,31.732077,34.835079
ערוגות,31.732798,34.77624
זנוח,31.733813,34.999369
עזר,31.736151,34.671447
בית עזרא,31.736402,34.657514
ניצן ב,31.737089,34.638235
באר טוביה,31.737127,34.72557
רמת רחל,31.7403163,35.2178825
אורות,31.740364,34.7356
ינון,31.741832,34.780947
אחווה,31.742893,34.767848
אמונים,31.743885,34.674492
נס הרים,31.744192,35.059406
כפר אחים,31.745864,34.755932
כפר הריף,31.747029,34.790928
בית שמש,31.747041,34.988099
מחסיה,31.748858,35.00726
קליה,31.749896,35.466131
תירוש,31.750347,34.885915
עזריקם,31.751695,34.694818
עמינדב,31.751705,35.142428
אורה,31.752109,35.150165
ישעי,31.752969,34.962586
תלמי יחיאל,31.753621,34.764308
קדר,31.754384,35.310732
שדה עוזיהו,31.758437,34.678194
אבן ספיר,31.7625,35.134991
צרעה,31.762653,34.966931
נחם,31.7664783,35.0035723
ירושלים,31.768319,35.21371
בני ראם,31.769972,34.790463
חצוראשדוד,31.772744,34.719366
רמת רזיאל,31.773573,35.074447
שתולים,31.773687,34.684409
רבדים,31.773966,34.814807
כסלון,31.774262,35.048171
מעלה אדומים,31.777369,35.297955
אשתאול,31.780385,35.010102
גן יבנה,31.783056,34.703101
בית זית,31.783058,35.161117
תרום,31.783306,34.980238
צובה,31.784352,35.117952
גבעת יערים,31.786089,35.09277
גני טל,31.788573,34.791392
חפץ חיים,31.789319,34.799739
אלמוג,31.790034,35.461968
בני עיש,31.790235,34.759291
עין ראפה,31.790605,35.116514
בית חלקיה,31.793001,34.809698
כפר אוריה,31.793399,34.944757
מוצא עילית,31.793591,35.157
עין נקובא,31.79391,35.119683
בית מאיר,31.794786,35.036753
ביצרון,31.7949517,34.7293463
יד בנימין,31.796685,34.82037
שורש,31.797488,35.065297
שואבה,31.799369,35.079003
תעוז,31.801288,34.971972
מסילת ציון,31.801449,35.009463
קרית יערים,31.802774,35.099945
מבשרת ציון,31.804052,35.157891
גן הדרום,31.804056,34.69987
אשדוד,31.804381,34.655314
בית נקופה,31.804392,35.126876
טל שחר,31.804404,34.903272
גיזו,31.805585,34.939653
צלפון,31.805599,34.931797
אבו גוש,31.806293,35.109193
נווה מבטח,31.806767,34.741231
נווה אילן,31.807585,35.080922
בית הערבה,31.807762,35.476411
יד השמונה,31.80955,35.089617
קרית ענבים,31.809913,35.120842
גדרה,31.8123014,34.7770192
קבוצת יבנה,31.813987,34.719103
קדרון,31.814142,34.795548
מצפה יריחו,31.815688,35.395409
יסודות,31.815835,34.865636
מישר,31.815936,34.752588
נווה שלום,31.817427,34.978335
מעלה החמישה,31.817429,35.109406
משגב דב,31.819054,34.739162
כרם יבנה ישיבה,31.8199341,34.7226127
בני דרום,31.82087,34.691609
נצר חזני,31.8214,34.862554
משמר דוד,31.823558,34.900676
הר אדר,31.824501,35.12966
עשרת,31.824913,34.747459
ניר גלים,31.82552,34.68254
ורד יריחו,31.826192,35.432139
כפר אדומים,31.827216,35.337189
בקוע,31.827899,34.924732
כפר אביב,31.831039,34.722577
נטף,31.831276,35.06958
כפר מרדכי,31.831504,34.756643
נחשון,31.831616,34.955986
עלמון,31.832068,35.296764
חולדה,31.83215,34.881523
שדמה,31.833778,34.74009
בניה,31.843444,34.751793
בית אלעזרי,31.844717,34.806627
כרמי יוסף,31.848024,34.921347
גבעון החדשה,31.848896,35.159029
מבוא חורון,31.849598,35.034977
גבע בנימין,31.849999,35.273853
מזכרת בתיה,31.853167,34.842421
בית גמליאל,31.856128,34.760947
בן זכאי,31.857223,34.727432
פדיה,31.857768,34.883774
גני יוחנן,31.859924,34.840827
גבעת זאב,31.861189,35.167252
כפר בן נון,31.861679,34.947191
קרית עקרון,31.862547,34.8219576
יציץ,31.863226,34.861903
גבעת ברנר,31.86661,34.802254
פתחיה,31.866957,34.88687
בית עוזיאל,31.87005,34.904858
שעלבים,31.870235,34.984304
כפר בילו,31.870475,34.826734
נוף איילון,31.871215,34.991321
משמר איילון,31.872478,34.943253
רמות מאיר,31.874444,34.855208
גזר,31.876349,34.92111
יבנה,31.877958,34.739449
גני הדר,31.8782413,34.857588
גן שלמה,31.878777,34.798901
מעלה מכמש,31.879131,35.305902
בית חורון,31.87989,35.124097
כוכב יעקב,31.880152,35.242773
נען,31.883208,34.859237
גאליה,31.885644,34.765351
כפר הנגיד,31.887134,34.748725
כפר שמואל,31.888259,34.934819
גיבתון,31.888318,34.79906
סתריה,31.889854,34.842094
מודיעיןמכביםרעות,31.890267,35.010397
בית חשמונאי,31.890298,34.917599
עזריה,31.890495,34.911872
רחובות,31.892773,34.811272
יד רמבם,31.899841,34.900086
פסגות,31.899984,35.223923
מצליח,31.906364,34.871278
נעמה,31.907541,35.467713
כפר רות,31.910378,35.035309
ישרש,31.915667,34.847337
עיינות,31.9158,34.768097
כפר האורנים,31.919928,35.036911
שילת,31.921173,35.014572
בית עובד,31.921287,34.774905
נצר סרני,31.922789,34.821191
דולב,31.926249,35.133591
גמזו,31.927217,34.941128
אירוס,31.9285746,34.7766539
מתתיהו,31.929747,35.034997
גני מודיעין,31.9297927,35.0176666
רמלה,31.931566,34.872938
אחיסמך,31.931906,34.908576
נס ציונה,31.932111,34.801327
מודיעין עילית,31.932477,35.042265
חשמונאים,31.932631,35.023269
פלמחים,31.932705,34.706874
כפר דניאל,31.933521,34.932306
מבוא מודיעים,31.933851,34.987999
בית חנן,31.935211,34.775596
רימונים,31.935382,35.340494
טלמון,31.939475,35.133131
בית אל,31.9416,35.222734
באר יעקב,31.943507,34.83904
גן שורק,31.944011,34.758322
נטעים,31.945689,34.775145
ייטב,31.947215,35.422375
לוד,31.951014,34.888075
ניר צבי,31.954403,34.861529
עופרה,31.955101,35.260324
בן שמן כפר נוער,31.959019,34.927831
בן שמן מושב,31.959019,34.927831
כוכב השחר,31.960264,35.349421
נעלה,31.962594,35.065976
גינתון,31.962801,34.913062
נילי,31.963415,35.04727
חדיד,31.969429,34.932156
ראשון לציון,31.9730015,34.7925013
נחליאל,31.973542,35.140431
זיתן,31.975178,34.891732
בית נחמיה,31.977142,34.953835
כפר טרומן,31.980493,34.927696
אחיעזר,31.981671,34.871821
יגל,31.987792,34.880262
נתיב הגדוד,31.989412,35.443281
כפר חבד,31.990144,34.849103
בית עריף,31.995352,34.935103
שוהם,31.9957581,34.9488403
גלגל,32.000016,35.444643
עטרת,32.001207,35.176982
בית דגן,32.0017816,34.8297087
צפריה,32.004315,34.854664
נוה צוף,32.008313,35.128876
משמר השבעה,32.010891,34.822337
בת ים,32.013186,34.748019
טירת יהודה,32.014833,34.935878
חולון,32.015833,34.787384
חמד,32.017992,34.841265
גנות,32.018204,34.825877
ברקת,32.018344,34.943179
תומר,32.018587,35.4398
בני עטרות,32.02147,34.910146
אזור,32.0245041,34.8058575
אור יהודה,32.029748,34.856173
מקווה ישראל,32.0312042,34.783329
יהודמונוסון,32.0315718,34.8925712
גבעת כח,32.032091,34.938796
בית אריה,32.040059,35.049472
בארות יצחק,32.042025,34.910221
פצאל,32.043492,35.443753
נופך,32.043748,34.920306
מגשימים,32.044363,34.899834
רינתיה,32.044365,34.928477
סביון,32.045589,34.876578
אלעד,32.04953,34.95075
מזור,32.050698,34.931373
שילה,32.054405,35.29909
מעלה לבונה,32.054436,35.239503
קרית אונו,32.054863,34.858858
נחלים,32.058597,34.9136
גני תקווה,32.060497,34.873121
פדואל,32.062479,35.052619
יפית,32.062687,35.474317
נחשונים,32.063236,34.947011
מעש,32.063511,34.892639
גת רימון,32.068105,34.881362
רמת גן,32.068424,34.824785
עלי,32.071177,35.266859
מעלה אפרים,32.071304,35.4039
שרונה,32.0717666,34.7848085
גבעתיים,32.072176,34.808871
עלי זהב,32.072227,35.064135
כפר סירקין,32.076684,34.922763
גבעת שמואל,32.077299,34.849206
בית צבי,32.0784145,34.8217109
עינת,32.081948,34.937514
ברוכין,32.082231,35.094113
פתח תקווה,32.084041,34.887762
בני ברק,32.084932,34.835226
תל אביב יפו,32.0852999,34.7817676
מגדלים,32.089866,35.342633
ראש העין,32.095838,34.952177
גבעת השלושה,32.09634,34.920628
גיתית,32.100273,35.395443
רחלים,32.10246,35.257756
אריאל,32.104637,35.174514
ברקן,32.109487,35.106008
אלקנה,32.110566,35.032054
משואה,32.111805,35.490255
כפר קאסם,32.114093,34.972767
קרית נטפים,32.117299,35.112115
כפר תפוח,32.117973,35.249829
רבבה,32.11871,35.129583
עץ אפרים,32.119403,35.046367
שערי תקווה,32.120679,35.026998
כפר ברא,32.130911,34.970108
אורנית,32.131924,34.99081
נווה ירק,32.132729,34.925488
רמת השרון,32.137793,34.840278
חורשים,32.137875,34.97102
חגור,32.138591,34.947614
עדנים,32.138798,34.909148
ירקונה,32.144524,34.897882
נירית,32.146206,34.984822
יקיר,32.149831,35.114631
גני עם,32.149838,34.903358
הוד השרון,32.149961,34.8838788
ירחיב,32.151536,34.967992
גלגוליה,32.1524568,34.9539749
אלישמע,32.154778,34.930461
נופים,32.155458,35.09984
שדי חמד,32.158488,34.9428062
גליל ים,32.158797,34.831876
מתן,32.159377,34.97319
עמנואל,32.160688,35.136036
הרצליה,32.162413,34.844675
מכורה,32.164159,35.423623
רמות השבים,32.16509,34.881543
מעלה שומרון,32.165406,35.069744
כפר מלל,32.167567,34.894744
גבעת חן,32.16758,34.875514
יצהר,32.168529,35.235944
אלפי מנשה,32.170631,35.014858
קרני שומרון,32.171553,35.097462
נווה ימין,32.171692,34.939378
ארגמן,32.17334,35.522285
איתמר,32.173869,35.308029
כפר סבא,32.178195,34.90761
רעננה,32.184781,34.871326
כפר שמריהו,32.187123,34.823124
צופית,32.19488,34.920085
גן חיים,32.195761,34.906957
צופים,32.197318,35.008912
ניר אליהו,32.197593,34.949375
חמרה,32.199688,35.43735
רשפון,32.201856,34.824723
שדה ורבורג,32.208691,34.90325
קדומים,32.21239,35.157388
ארסוף,32.212841,34.815977
בצרה,32.214541,34.878123
שפיים,32.216586,34.822409
רמת הכובש,32.218313,34.93829
בני ציון,32.219839,34.868378
כוכב יאיר,32.220922,34.992405
